iter	Logloss
0	0.6288525864
1	0.5741270494
2	0.527205673
3	0.4894637825
4	0.4597994111
5	0.4357186038
6	0.4132509352
7	0.395374269
8	0.3791303765
9	0.3661732197
10	0.3545957384
11	0.3446571738
12	0.3365089204
13	0.3293578188
14	0.3232962214
15	0.3183454578
16	0.3141160662
17	0.3106530715
18	0.3072273258
19	0.3041689565
20	0.3018799009
21	0.299951948
22	0.2978851895
23	0.2964524643
24	0.2959470014
25	0.2943912765
26	0.2931800631
27	0.292184961
28	0.2914413424
29	0.2908727364
30	0.2900778166
31	0.2893940095
32	0.2891714683
33	0.2884193053
34	0.2878869338
35	0.2877556295
36	0.2871832323
37	0.2870795989
38	0.286743662
39	0.2863589409
40	0.2858906547
41	0.2856286223
42	0.2852944316
43	0.2850474646
44	0.2847867008
45	0.2847650119
46	0.2845764744
47	0.2844342914
48	0.2842128462
49	0.2841987104
50	0.284020138
51	0.2838773387
52	0.2838563583
53	0.2838236136
54	0.283815285
55	0.2836766806
56	0.2836123365
57	0.2834586786
58	0.2833309428
59	0.2832984338
60	0.2831748234
61	0.2831273372
62	0.2830202677
63	0.2829755446
64	0.2829311125
65	0.282878913
66	0.2828124518
67	0.2827840617
68	0.2827776464
69	0.2827557209
70	0.2826403896
71	0.2825592716
72	0.2825547501
73	0.2824756617
74	0.2824516671
75	0.2824413132
76	0.282397592
77	0.2823764282
78	0.282349525
79	0.2823063407
80	0.2822706933
81	0.282215421
82	0.2821846636
83	0.2821357522
84	0.2820803049
85	0.2820762574
86	0.2820754193
87	0.2820685818
88	0.2820625074
89	0.2820047847
90	0.2819360052
91	0.2819031175
92	0.281878811
93	0.2818457178
94	0.2818434936
95	0.2818300833
96	0.2818256634
97	0.2818224863
98	0.2818029614
99	0.2818029377
100	0.2817386016
101	0.2817312873
102	0.2817165047
103	0.2817125309
104	0.2816976346
105	0.2816813424
106	0.2816562439
107	0.281639061
108	0.2815829189
109	0.2815829172
110	0.2815730773
111	0.2815612238
112	0.2815612223
113	0.2815334212
114	0.2814986128
115	0.2814887645
116	0.2814484151
117	0.2814444168
118	0.2814440785
119	0.2814423226
120	0.2814267505
121	0.2813935096
122	0.2813827919
123	0.2813547535
124	0.2813547501
125	0.2813529622
126	0.281325248
127	0.2813065
128	0.2812537142
129	0.2812537123
130	0.2812384527
131	0.2812290474
132	0.2812089512
133	0.281205875
134	0.2812058728
135	0.2811505662
136	0.2811386928
137	0.2810966211
138	0.2810667857
139	0.2810469796
140	0.2810469795
141	0.2810436217
142	0.2810433749
143	0.2810433743
144	0.2810432246
145	0.2810409362
146	0.2810406931
147	0.2810126691
148	0.2809746162
149	0.280972226
150	0.2809484923
151	0.2809152013
152	0.2808773449
153	0.2808333051
154	0.2808221278
155	0.2808016613
156	0.2808016612
157	0.2807917167
158	0.2807458483
159	0.2807425389
160	0.2807398022
161	0.2807395106
162	0.2807320544
163	0.2806935295
164	0.2806902343
165	0.2806591936
166	0.2806056621
167	0.2806036861
168	0.2805960174
169	0.2805457417
170	0.2805266588
171	0.2804907899
172	0.2804520568
173	0.2804471827
174	0.2804391896
175	0.2804270148
176	0.2804109522
177	0.2804109522
178	0.28039586
179	0.2803955359
180	0.2803534882
181	0.2803519915
182	0.280324764
183	0.2803008907
184	0.2803006147
185	0.2802770438
186	0.2802695065
187	0.2802647768
188	0.2802523749
189	0.2802503408
190	0.2802390871
191	0.2802140939
192	0.2802061803
193	0.2801905951
194	0.2801285718
195	0.2801103705
196	0.2801053716
197	0.2800988947
198	0.2800742386
199	0.2800248161
200	0.2800241995
201	0.2799747332
202	0.2799447084
203	0.2799384749
204	0.2799382767
205	0.2799237011
206	0.2798857167
207	0.2798503365
208	0.2798303548
209	0.2798108955
210	0.2797516742
211	0.2797129845
212	0.2796793622
213	0.2796485277
214	0.2796250028
215	0.2795914386
216	0.2795177826
217	0.2795045018
218	0.2794877862
219	0.2794402205
220	0.2793974836
221	0.2793711085
222	0.2793581524
223	0.2793220402
224	0.2792759351
225	0.2792235065
226	0.2791947588
227	0.2791432161
228	0.2791135008
229	0.2790640513
230	0.27899122
231	0.2789907872
232	0.2789305959
233	0.278879785
234	0.2788118547
235	0.2787769521
236	0.2787698721
237	0.2787199405
238	0.2787199403
239	0.2786991703
240	0.2786661336
241	0.2786127981
242	0.2785909553
243	0.2785364103
244	0.2784944137
245	0.2784503083
246	0.278398489
247	0.2783437553
248	0.2783005991
249	0.2782516722
250	0.2782178077
251	0.2781929938
252	0.2781458899
253	0.2781051232
254	0.2780448126
255	0.2779972407
256	0.2779408451
257	0.2778863657
258	0.2778498788
259	0.2778102512
260	0.2777631134
261	0.2777196505
262	0.2776869437
263	0.2776640966
264	0.2776590578
265	0.2776212484
266	0.2775843977
267	0.2775426113
268	0.2775225228
269	0.2774979123
270	0.2774529272
271	0.2774184046
272	0.277377133
273	0.2773366279
274	0.2772628015
275	0.2772345007
276	0.2771757068
277	0.2771441867
278	0.2771039004
279	0.2770496645
280	0.2770009328
281	0.2769605595
282	0.2769224407
283	0.2769044915
284	0.2768565735
285	0.2768136154
286	0.276778165
287	0.2767638798
288	0.2767383193
289	0.2767028775
290	0.2766420999
291	0.276638599
292	0.2766117202
293	0.2765731273
294	0.2765327966
295	0.2765157913
296	0.2764647027
297	0.2764157641
298	0.2763703342
299	0.2763378946
300	0.2762893562
301	0.276255288
302	0.2761976737
303	0.2761839049
304	0.2761684931
305	0.2761318854
306	0.2761282923
307	0.2761158938
308	0.2760764333
