iter	Passed	Remaining
0	7	3612
1	12	3194
2	20	3325
3	26	3251
4	32	3205
5	38	3205
6	44	3163
7	51	3169
8	56	3093
9	64	3139
10	69	3101
11	75	3087
12	82	3094
13	88	3075
14	94	3066
15	100	3045
16	105	3002
17	112	3016
18	118	2990
19	123	2973
20	131	2988
21	137	2990
22	144	2988
23	150	2991
24	156	2966
25	162	2964
26	169	2968
27	175	2954
28	182	2956
29	188	2953
30	193	2933
31	199	2921
32	206	2919
33	213	2931
34	220	2923
35	224	2899
36	229	2876
37	233	2836
38	238	2820
39	244	2812
40	251	2818
41	256	2799
42	263	2796
43	269	2791
44	275	2787
45	278	2751
46	284	2738
47	289	2724
48	295	2716
49	298	2685
50	304	2685
51	311	2681
52	316	2667
53	323	2669
54	326	2645
55	333	2641
56	339	2639
57	346	2640
58	353	2638
59	359	2635
60	365	2630
61	372	2633
62	377	2619
63	383	2613
64	389	2606
65	396	2607
66	403	2608
67	409	2601
68	414	2591
69	418	2571
70	425	2571
71	432	2569
72	435	2549
73	442	2547
74	448	2540
75	455	2538
76	462	2538
77	468	2534
78	474	2529
79	480	2522
80	486	2519
81	493	2517
82	499	2511
83	506	2508
84	512	2502
85	517	2491
86	521	2476
87	527	2467
88	530	2450
89	537	2449
90	543	2443
91	549	2437
92	555	2432
93	562	2428
94	565	2412
95	571	2405
96	576	2393
97	579	2378
98	585	2372
99	588	2355
100	595	2352
101	601	2345
102	607	2341
103	613	2335
104	619	2331
105	626	2327
106	633	2324
107	639	2321
108	646	2317
109	648	2300
110	654	2294
111	659	2283
112	661	2266
113	668	2263
114	674	2256
115	680	2252
116	687	2249
117	690	2235
118	694	2223
119	698	2210
120	704	2207
121	710	2201
122	716	2195
123	722	2190
124	725	2175
125	728	2162
126	735	2158
127	741	2154
128	747	2151
129	750	2136
130	757	2133
131	763	2127
132	769	2123
133	774	2116
134	777	2102
135	784	2099
136	789	2092
137	796	2089
138	802	2084
139	808	2079
140	811	2067
141	815	2056
142	819	2046
143	822	2034
144	827	2025
145	831	2015
146	835	2007
147	842	2002
148	848	1998
149	853	1991
150	859	1987
151	865	1982
152	871	1977
153	878	1974
154	884	1968
155	890	1963
156	893	1951
157	899	1946
158	905	1942
159	909	1932
160	914	1925
161	919	1917
162	925	1913
163	931	1908
164	936	1901
165	942	1896
166	949	1893
167	953	1883
168	958	1877
169	965	1874
170	971	1869
171	977	1864
172	984	1860
173	988	1851
174	993	1845
175	999	1840
176	1005	1835
177	1008	1824
178	1014	1818
179	1017	1809
180	1023	1804
